DATE,INTERPOLATED,MA7_NUM_TOT_DIED,MA7_NUM_TOT_DIED_per_100kpop,NUM_TOT_DIED,NUM_TOT_DIED_per_100kpop,PROVINCE_NAME,PROVINCE_NAME_PSGC,REGION_NAME
2021-02-08,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-09,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-10,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-11,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-12,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-13,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-14,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-15,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-16,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-17,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-18,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-19,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-20,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-21,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-22,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-23,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-24,0,3.0,0.4782196763303675,3.0,0.4782196763303675,Ilocos Norte,PH012800000,1
2021-02-25,0,3.142857142857143,0.5009920418699088,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-02-26,0,3.2857142857142856,0.5237644074094501,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-02-27,0,3.4285714285714284,0.5465367729489914,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-02-28,0,3.571428571428571,0.5693091384885327,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-01,0,3.714285714285714,0.592081504028074,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-02,0,3.8571428571428568,0.6148538695676153,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-03,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-04,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-05,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-06,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-07,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-08,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-09,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-10,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-11,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-12,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-13,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-14,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-15,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-16,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-17,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-18,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-19,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-20,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-21,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-22,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-23,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-24,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-25,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-26,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-27,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-28,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-29,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-30,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-03-31,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-04-01,0,4.0,0.6376262351071567,4.0,0.6376262351071567,Ilocos Norte,PH012800000,1
2021-04-02,0,4.142857142857142,0.6603986006466979,5.0,0.7970327938839458,Ilocos Norte,PH012800000,1
2021-04-03,0,4.285714285714286,0.6831709661862393,5.0,0.7970327938839458,Ilocos Norte,PH012800000,1
2021-04-04,0,4.428571428571428,0.7059433317257805,5.0,0.7970327938839458,Ilocos Norte,PH012800000,1
2021-04-05,0,4.571428571428571,0.7287156972653219,5.0,0.7970327938839458,Ilocos Norte,PH012800000,1
2021-04-06,0,4.857142857142857,0.7742604283444044,6.0,0.956439352660735,Ilocos Norte,PH012800000,1
2021-04-07,0,5.142857142857142,0.8198051594234871,6.0,0.956439352660735,Ilocos Norte,PH012800000,1
2021-04-08,0,5.571428571428571,0.888122256042111,7.0,1.115845911437524,Ilocos Norte,PH012800000,1
2021-04-09,0,5.857142857142857,0.9336669871211937,7.0,1.115845911437524,Ilocos Norte,PH012800000,1
2021-04-10,0,6.142857142857142,0.9792117182002763,7.0,1.115845911437524,Ilocos Norte,PH012800000,1
2021-04-11,0,6.571428571428571,1.0475288148189001,8.0,1.2752524702143133,Ilocos Norte,PH012800000,1
2021-04-12,0,7.0,1.115845911437524,8.0,1.2752524702143133,Ilocos Norte,PH012800000,1
2021-04-13,0,7.285714285714286,1.1613906425166067,8.0,1.2752524702143133,Ilocos Norte,PH012800000,1
2021-04-14,0,7.571428571428571,1.2069353735956894,8.0,1.2752524702143133,Ilocos Norte,PH012800000,1
2021-04-15,0,7.7142857142857135,1.2297077391352307,8.0,1.2752524702143133,Ilocos Norte,PH012800000,1
2021-04-16,0,7.857142857142857,1.252480104674772,8.0,1.2752524702143133,Ilocos Norte,PH012800000,1
2020-04-25,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-04-26,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-04-27,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-04-28,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-04-29,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-04-30,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-01,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-02,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-03,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-04,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-05,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-06,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-07,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-08,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-09,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-10,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-11,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-12,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-13,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-14,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-15,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-16,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-17,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-18,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-19,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-20,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-21,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-22,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-23,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-24,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-25,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-26,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-27,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-28,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-29,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-30,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-05-31,1,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-01,1,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-02,1,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-03,1,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-04,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-05,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-06,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-07,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-08,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-09,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-10,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-11,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-12,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-13,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-14,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-15,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-16,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-17,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-18,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-19,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-20,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-21,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-22,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-23,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-24,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-25,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-26,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-27,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-28,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-29,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-06-30,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-01,1,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-02,1,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-03,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-04,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-05,1,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-06,1,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-07,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-08,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-09,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-10,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-11,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-12,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-13,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-14,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-15,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-16,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-17,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-18,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-19,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-20,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-21,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-22,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-23,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-24,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-25,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-26,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-27,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-28,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-29,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-30,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-07-31,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-01,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-02,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-03,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-04,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-05,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-06,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-07,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-08,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-09,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-10,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-11,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-12,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-13,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-14,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-15,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-16,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-17,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-18,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-19,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-20,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-21,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-22,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-23,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-24,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-25,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-26,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-27,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-28,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-29,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-30,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-08-31,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-01,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-02,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-03,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-04,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-05,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-06,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-07,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-08,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-09,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-10,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-11,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-12,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-13,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-14,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-15,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-16,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-17,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-18,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-19,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-20,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-21,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-22,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-23,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-24,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-25,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-26,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-27,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-28,0,0.14285714285714285,0.019536631560518325,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-09-29,0,0.14285714285714285,0.019536631560518325,0.0,0.0,Ilocos Sur,PH012900000,1
2020-09-30,0,0.14285714285714285,0.019536631560518325,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-01,0,0.14285714285714285,0.019536631560518325,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-02,0,0.14285714285714285,0.019536631560518325,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-03,0,0.14285714285714285,0.019536631560518325,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-04,0,0.14285714285714285,0.019536631560518325,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-05,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-06,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-07,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-08,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-09,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-10,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-11,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-12,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-13,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-14,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-15,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-16,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-17,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-18,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-19,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-20,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-21,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-22,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-23,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-24,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-25,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-26,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-27,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-28,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-29,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-30,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-10-31,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-11-01,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-11-02,0,0.0,0.0,0.0,0.0,Ilocos Sur,PH012900000,1
2020-11-03,0,0.14285714285714285,0.019536631560518325,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-04,0,0.2857142857142857,0.03907326312103665,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-05,0,0.42857142857142855,0.058609894681554975,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-06,0,0.5714285714285714,0.0781465262420733,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-07,0,0.7142857142857142,0.09768315780259161,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-08,0,0.8571428571428571,0.11721978936310995,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-09,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-10,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-11,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-12,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-13,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-14,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-15,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-16,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-17,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-18,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-19,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-20,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-21,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-22,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-23,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-24,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-25,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-26,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-27,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-28,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-29,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-11-30,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-12-01,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-12-02,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-12-03,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-12-04,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-12-05,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-12-06,0,1.0,0.1367564209236283,1.0,0.1367564209236283,Ilocos Sur,PH012900000,1
2020-12-07,0,1.1428571428571428,0.1562930524841466,2.0,0.2735128418472566,Ilocos Sur,PH012900000,1
2020-12-08,0,1.2857142857142856,0.17582968404466492,2.0,0.2735128418472566,Ilocos Sur,PH012900000,1
2020-12-09,0,1.4285714285714284,0.19536631560518322,2.0,0.2735128418472566,Ilocos Sur,PH012900000,1
2020-12-10,0,1.5714285714285714,0.2149029471657016,2.0,0.2735128418472566,Ilocos Sur,PH012900000,1
2020-12-11,0,1.7142857142857142,0.2344395787262199,2.0,0.2735128418472566,Ilocos Sur,PH012900000,1
