DATE,INTERPOLATED,MA7_NUM_DAILY_DIED,MA7_NUM_DAILY_DIED_per_100kpop,MA7_NUM_DIED,MA7_NUM_DIED_per_100kpop,NUM_DAILY_DIED,NUM_DAILY_DIED_per_100kpop,NUM_DIED,NUM_DIED_per_100kpop,PROVINCE_NAME,PROVINCE_NAME_PSGC,REGION_NAME
2020-06-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-06-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-02,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-06,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-07-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-08-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-08-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
2020-08-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,City of Isabela,PH099700000,9
